idn	akten-nr
1280494077                         	HABV_91_1_548               
1280494085                         	HABV_91_1_549               
1280494093                         	HABV_91_1_550               
1280494107                         	HABV_91_1_552               
1280494115                         	HABV_91_1_553               
1280494123                         	HABV_91_1_554               
1280494131                         	HABV_91_1_555               
128049414X                         	HABV_91_1_558               
1280494158                         	HABV_91_1_560               
1280494166                         	HABV_91_1_563               
1280494174                         	HABV_91_1_564               
1280494182                         	HABV_91_1_565               
1280494190                         	HABV_91_1_566               
1280494204                         	HABV_91_1_568               
1280494212                         	HABV_91_1_570               
1280494220                         	HABV_91_1_572               
1280494239                         	HABV_91_1_573               
1280494247                         	HABV_91_1_574               
1280494255                         	HABV_91_1_576               
1280494263                         	HABV_91_1_579               
1280494271                         	HABV_91_1_580               
128049428X                         	HABV_91_1_581               
1280494298                         	HABV_91_1_583               
1280494301                         	HABV_91_1_584               
128049431X                         	HABV_91_1_585               
1280494328                         	HABV_91_1_588               
1280494336                         	HABV_91_1_591               
1280494344                         	HABV_91_1_593               
1280494352                         	HABV_91_1_596               
1280494360                         	HABV_91_1_597               
1280494379                         	HABV_91_1_599               
1280494387                         	HABV_91_1_601               
1280494395                         	HABV_91_1_605               
1280494409                         	HABV_91_1_607               
1280494417                         	HABV_91_1_608               
1280494425                         	HABV_91_1_610               
1280494433                         	HABV_91_1_612               
1280494441                         	HABV_91_1_613               
128049445X                         	HABV_91_1_614               
1280494468                         	HABV_91_1_616               
1280494476                         	HABV_91_1_618               
1280494484                         	HABV_91_1_619               
1280494492                         	HABV_91_1_620               
1280494506                         	HABV_91_1_626               
1280494514                         	HABV_91_1_628               
1280494522                         	HABV_91_1_633               
1280494530                         	HABV_91_1_634               
1280494549                         	HABV_91_1_635               
1280494557                         	HABV_91_1_637               
1280494565                         	HABV_91_1_638               
1280494573                         	HABV_91_1_640               
1280494581                         	HABV_91_1_645               
128049459X                         	HABV_91_1_647               
1280494603                         	HABV_91_1_648               
1280494611                         	HABV_91_1_649               
128049462X                         	HABV_91_1_651               
1280494638                         	HABV_91_1_652               
1280494646                         	HABV_91_1_653               
1280494654                         	HABV_91_1_655               
1280494662                         	HABV_91_1_658               
1280494670                         	HABV_91_1_659               
1280494689                         	HABV_91_1_660               
1280494697                         	HABV_91_1_664               
1280494700                         	HABV_91_1_668               
1280494719                         	HABV_91_1_670               
1280494727                         	HABV_91_1_671               
1280494735                         	HABV_91_1_672               
1280494743                         	HABV_91_1_675               
1280494751                         	HABV_91_1_680               
128049476X                         	HABV_91_1_682               
1280494778                         	HABV_91_1_684               
1280494786                         	HABV_91_1_685               
1280494794                         	HABV_91_1_686               
