idn	akten-nr
1247324303                         	HABV_91_1_548               
1247324311                         	HABV_91_1_549               
124732432X                         	HABV_91_1_550               
1247324338                         	HABV_91_1_552               
1247324346                         	HABV_91_1_553               
1247324362                         	HABV_91_1_554               
1247324370                         	HABV_91_1_555               
1247324389                         	HABV_91_1_558               
1247324397                         	HABV_91_1_560               
1247324400                         	HABV_91_1_563               
1247324419                         	HABV_91_1_564               
1247324427                         	HABV_91_1_565               
1247324435                         	HABV_91_1_566               
1247324443                         	HABV_91_1_568               
1247324451                         	HABV_91_1_570               
124732446X                         	HABV_91_1_572               
1247324478                         	HABV_91_1_573               
1247324486                         	HABV_91_1_574               
1247324494                         	HABV_91_1_576               
1247324508                         	HABV_91_1_579               
1247324516                         	HABV_91_1_580               
1247324524                         	HABV_91_1_581               
1247324532                         	HABV_91_1_583               
1247324540                         	HABV_91_1_584               
1247324559                         	HABV_91_1_585               
1247324567                         	HABV_91_1_588               
1247324575                         	HABV_91_1_591               
1247324583                         	HABV_91_1_593               
1247324591                         	HABV_91_1_596               
1247324605                         	HABV_91_1_597               
1247324613                         	HABV_91_1_599               
1247324621                         	HABV_91_1_601               
124732463X                         	HABV_91_1_605               
1247324648                         	HABV_91_1_607               
1247324656                         	HABV_91_1_608               
1247324664                         	HABV_91_1_610               
1247324672                         	HABV_91_1_612               
1247324680                         	HABV_91_1_613               
1247324699                         	HABV_91_1_614               
1247324702                         	HABV_91_1_616               
1247324710                         	HABV_91_1_618               
1247324729                         	HABV_91_1_619               
1247324737                         	HABV_91_1_620               
1247324745                         	HABV_91_1_626               
1247324753                         	HABV_91_1_628               
1247324761                         	HABV_91_1_633               
124732477X                         	HABV_91_1_634               
1247324788                         	HABV_91_1_635               
1247324796                         	HABV_91_1_637               
124732480X                         	HABV_91_1_638               
1247324818                         	HABV_91_1_640               
1247324826                         	HABV_91_1_645               
1247324834                         	HABV_91_1_647               
1247324842                         	HABV_91_1_648               
1247324850                         	HABV_91_1_649               
1247324869                         	HABV_91_1_651               
1247324877                         	HABV_91_1_652               
1247324885                         	HABV_91_1_653               
1247324893                         	HABV_91_1_655               
1247324907                         	HABV_91_1_658               
1247324915                         	HABV_91_1_659               
1247324923                         	HABV_91_1_660               
1247324931                         	HABV_91_1_664               
124732494X                         	HABV_91_1_668               
1247324958                         	HABV_91_1_670               
1247324966                         	HABV_91_1_671               
1247324974                         	HABV_91_1_672               
1247324982                         	HABV_91_1_675               
1247324990                         	HABV_91_1_680               
1247325008                         	HABV_91_1_682               
1247325016                         	HABV_91_1_684               
1247325024                         	HABV_91_1_685               
1247325032                         	HABV_91_1_686               
1247325040                         	HABV_91_1_687               
1247325059                         	HABV_91_1_688               
1247325067                         	HABV_91_1_689               
1247325075                         	HABV_91_1_694               
1247325083                         	HABV_91_1_695               
1247325091                         	HABV_91_1_697               
1247325105                         	HABV_91_1_699               
1247325113                         	HABV_91_1_702               
1247325121                         	HABV_91_1_703               
124732513X                         	HABV_91_1_707               
1247325148                         	HABV_91_1_710               
1247325156                         	HABV_91_1_712               
1247325164                         	HABV_91_1_713               
1247325172                         	HABV_91_1_716               
1247325180                         	HABV_91_1_717               
1247325199                         	HABV_91_1_719               
1247325202                         	HABV_91_1_721               
1247325210                         	HABV_91_1_722               
1247325229                         	HABV_91_1_723               
1247325237                         	HABV_91_1_724               
1247325245                         	HABV_91_1_725               
1247325253                         	HABV_91_1_726               
1247325261                         	HABV_91_1_734               
124732527X                         	HABV_91_1_735               
1247325288                         	HABV_91_1_736               
1247325296                         	HABV_91_1_738               
124732530X                         	HABV_91_1_739               
1247325318                         	HABV_91_1_741               
1247325326                         	HABV_91_1_742               
1247325334                         	HABV_91_1_743               
1247325342                         	HABV_91_1_745               
1247325350                         	HABV_91_1_746               
1247325369                         	HABV_91_1_752               
1247325377                         	HABV_91_1_753               
1247325385                         	HABV_91_1_756               
1247325393                         	HABV_91_1_757               
1247325407                         	HABV_91_1_758               
1247325415                         	HABV_91_1_759               
1247325423                         	HABV_91_1_760               
1247325431                         	HABV_91_1_762               
124732544X                         	HABV_91_1_763               
1247325458                         	HABV_91_1_764               
1247325466                         	HABV_91_1_765               
1247325474                         	HABV_91_1_766               
1247325482                         	HABV_91_1_767               
1247325490                         	HABV_91_1_772               
1247325504                         	HABV_91_1_774               
1247325512                         	HABV_91_1_775               
1247325520                         	HABV_91_1_776               
1247325539                         	HABV_91_1_777               
1247325547                         	HABV_91_1_779               
1247325555                         	HABV_91_1_782               
1247325563                         	HABV_91_1_783               
1247325571                         	HABV_91_1_787               
124732558X                         	HABV_91_1_788               
1247325598                         	HABV_91_1_789               
1247325601                         	HABV_91_1_790               
124732561X                         	HABV_91_1_793               
1247325628                         	HABV_91_1_794               
1247325636                         	HABV_91_1_797               
1247325644                         	HABV_91_1_798               
1247325652                         	HABV_91_1_799               
1247325660                         	HABV_91_1_800               
1247325679                         	HABV_91_1_802               
1247325687                         	HABV_91_1_804               
1247325695                         	HABV_91_1_806               
1247325709                         	HABV_91_1_808               
1247325717                         	HABV_91_1_809               
1247325725                         	HABV_91_1_810               
1247325733                         	HABV_91_1_815               
1247325741                         	HABV_91_1_820               
124732575X                         	HABV_91_1_821               
1247325768                         	HABV_91_1_823               
1247325776                         	HABV_91_1_824               
1247325784                         	HABV_91_1_825               
1247325792                         	HABV_91_1_827               
1247325806                         	HABV_91_1_828               
1247325814                         	HABV_91_1_829               
1247325822                         	HABV_91_1_830               
1247325830                         	HABV_91_1_831               
1247325849                         	HABV_91_1_833               
1247325857                         	HABV_91_1_834               
1247325865                         	HABV_91_1_837               
1247325873                         	HABV_91_1_839               
1247325881                         	HABV_91_1_840               
124732589X                         	HABV_91_1_843               
1247325903                         	HABV_91_1_849               
1247325911                         	HABV_91_1_853               
124732592X                         	HABV_91_1_854               
1247325938                         	HABV_91_1_858               
1247325946                         	HABV_91_1_860               
1247325954                         	HABV_91_1_862               
1247325962                         	HABV_91_1_863               
1247325970                         	HABV_91_1_864               
1247325989                         	HABV_91_1_865               
1247325997                         	HABV_91_1_867               
1247326004                         	HABV_91_1_868               
1247326012                         	HABV_91_1_869               
1247326020                         	HABV_91_1_870               
1247326039                         	HABV_91_1_871               
1247326047                         	HABV_91_1_872               
1247326055                         	HABV_91_1_873               
1247326063                         	HABV_91_1_874               
1247326071                         	HABV_91_1_876               
124732608X                         	HABV_91_1_879               
1247326098                         	HABV_91_1_885               
1247326101                         	HABV_91_1_886               
124732611X                         	HABV_91_1_889               
1247326128                         	HABV_91_1_893               
1247326136                         	HABV_91_1_894               
1247326144                         	HABV_91_1_895               
1247326152                         	HABV_91_1_898               
1247326160                         	HABV_91_1_899               
1247326179                         	HABV_91_1_901               
1247326187                         	HABV_91_1_904               
1247326195                         	HABV_91_1_906               
1247326209                         	HABV_91_1_908               
1247326217                         	HABV_91_1_910               
1247326225                         	HABV_91_1_912               
1247326233                         	HABV_91_1_914               
1247326241                         	HABV_91_1_915               
124732625X                         	HABV_91_1_917               
1247326268                         	HABV_91_1_919               
1247326276                         	HABV_91_1_920               
1247326284                         	HABV_91_1_921               
1247326292                         	HABV_91_1_923               
1247326306                         	HABV_91_1_924               
1247326314                         	HABV_91_1_926               
1247326322                         	HABV_91_1_928               
1247326330                         	HABV_91_1_932               
1247326349                         	HABV_91_1_933               
1247326357                         	HABV_91_1_934               
1247326365                         	HABV_91_1_937               
1247326373                         	HABV_91_1_938               
1247326381                         	HABV_91_1_941               
124732639X                         	HABV_91_1_942               
1247326403                         	HABV_91_1_945               
1247326411                         	HABV_91_1_949               
124732642X                         	HABV_91_1_952               
1247326438                         	HABV_91_1_953               
1247326446                         	HABV_91_1_955               
