Id;Vorname;Geschlecht
605; Josef;m
606; Karl;m
607; Leonhard;m
608; August;m
609; David;m
610; Helmut;m
611; Alfons;m
612; Konrad;m
613; Gertrud;w
614; Alwin;m
615; Gertrud;w
616; Klaus-Georg;m
617; Paul;m
618; Hans-Gert;m
619; Harry;m
620; Curt;m
621; Heinrich Samuel;m
622; Leopold;m
623; Willy;m
624; Karl;m
625; August;m
626; Gerhard;m
627; Walter;m
628; Aenne;w
629; Kaspar;m
630; Franz von u. Ingeborg;m
631; Anni;w
632; Hans Ottomar;m
633; Käte;w
634; Walter;m
635; Robert;m
636; Herbert;m
637; Adolf;m
638; Fritz;m
639; Johann;m
640; Erna;w
641; Eugen;m
642; Karl;m
643; Peregrin;m
644; Hans;m
645; Robert;m
646; Ernst;m
647; Willy;m
648; Karl;m
649; Wolfgang;m
650; Erich;m
651; Albert;m
652; Hans Georg;m
653; Adolfine;w
654; Rudolf;m
655; Heinrich;m
656; Waldemar;m
657; Helmut;m
658; Gottfried;m
659; Anna;w
660; Waltraut;w
661; Erich;m
662; Hanna;w
663; Karl;m
664; Hedwig;w
665; Gerhard;m
666; Heinz;m
667; Wilhelm;m
668; Albert;m
669; Karl;m
670; Franz;m
671; Hans;m
672; Martin;m
673; Joseph;m
674; Robert van;m
675; August;m
676; Karl;m
677; Johanna u. Karl;w
678; Hermann;m
679; Hugo;m
680; Ernst Heinrich;m
681; Julius Georg;m
682; Agathe;w
683; Heinz;m
684; Otto;m
685; Annemarie;w
686; Wilhelm;m
687; Bruno;m
688; Georg;m
689; Christoph;m
690; Hans Joachim;m
691; Wilhelmine;w
692; Karl;m
693; Karl-Alfred;m
694; Meta;w
695; Kurt;m
696; Albert;m
697; Bodo;m
698; Hanns;m
699; Else;w
700; Hanns;m
701; Walter;m
702; Anni;w
703; Eva-Maria;w
704; Martha;w
705; Paul;m
706; Lucie;w
707; Rolf-Martin;m
708; Albert;m
709; Hans;m
710; Julius;m
711; Hans;m
712; Alfred;m
713; Gerhard;m
714; Susanne;w
715; Hans;m
716; Heinz;m
717; Rudolf;m
718; Cordula;w
719; Max;m
720; Karl;m
721; Eberhard;m
722; Ernst;m
723; Hans;m
724; Aenne;w
725; Ferdinand;m
726; Georg Leo;m
727; Kurt;m
728; Victor;m
729; Eduard;m
730; Franz J.;m
731; Osina;w
732; William;m
733; Hans;m
734; Rudolf;m
735; Oskar;m
736; Wilhelm;m
737; Wolfgang;m
738; Christine;w
739; Paul;m
740; Carl W. u. Eva Brigitte;m
741; Hans;m
742; Heinz Kurt;m
743; Kurt;m
744; Rudolf von;m
745; Georg;m
746; Walter;m
747; Willi;m
748; Wolfgang;m
749; Anneliese;w
750; Erich;m
751; Richard;m
752; Inge;w
753; Käthe;w
754; Ottohermann;m
755; Franz Ludwig;m
756; Theo;m
757; Gustav;m
758; Rolf;m
759; Elisabeth;w
760; Ernst;m
761; Wilhelm;m
762; Hans Friedrich;m
763; Emil;m
764; Walter;m
765; Elfriede;w
766; Gerhard;m
767; Hans;m
768; Elsbeth;w
769; Albin;m
770; Fritz u. Rolf;m
771; Friedrich;m
772; Ilse;w
773; Maria de;w
774; Helmut;m
775; Adolf;m
776; Elisabeth;w
777; Otto;m
778; Rudolf;m
779; Adolf;m
780; Rudolf;m
781; Martha;w
782; Hermann;m
783; Magarete;w
784; Gustav;m
785; Jakob;m
786; Karl;m
787; Walter;m
788; Carl;m
789; Friedrich Ludwig;m
790; Maria;w
791; Josef;m
792; Walter;m
793; Anton;m
794; Helene;w
795; Günter;m
796; Herta u. Peter;w
797; Bruno;m
798; Carl H.;m
799; Helene;w
800; Walter;m
801; Bruno;m
802; Albert;m
803; Edgar;m
804; Eleonora;w
805; Hans Jürgen;m
806; Josef;m
807; Wolfram von;m
808; Otto;m
809; Gisela;w
810; Fritz;m
811; Gisela;w
812; Heinrich;m
813; Klaus;m
814; Hans;m
815; Georg;m
816; Karl;m
817; Michael u. Renata;m
818; Clara;w
819; Günther;m
820; Johannes;m
821; Kurt;m
822; Walter;m
823; Ludwig;m
824; Franz;m
825; Erwin;m
826; Werner;m
827; Marta;w
828; Eduard;m
829; Eugen;m
830; Ernst Rainer;m
831; Heinz;m
832; Bruno;m
833; Karl Friedrich;m
834; Benedikt;m
835; Ella;w
836; Elsa;w
837; Leo F.;m
838; Else;w
839; Gisela;w
840; Wilhelm;m
841; Karl;m
842; Hans;m
843; Raimund;m
844; Michael;m
845; Heinrich;m
846; Margret;w
847; Kurt;m
848; Rudolf;m
849; Hans Waldemar;m
850; Jakob;m
851; Fritz u. Gisela;m
852; Hedwig;w
853; Berta;w
854; Hermann;m
855; Margit;w
856; Hans Jacob;m
857; Mathilde (geb. Steurer);w
858; Albert;m
859; Friedrich;m
860; Doris;w
861; Günther;m
862; Rudolf;m
863; Hans-Jürgen;m
864; Kurt;m
865; Ursula;w
866; Willy;m
867; Ernst;m
868; Emil;m
869; Adam;m
870; Robert;m
871; Ernst;m
872; Willy;m
873; Kurt;m
874; Elisabeth;w
875; Ernst;m
876; Hans-Joachim;m
877; Elisabeth;w
878; Friedrich Wilhelm;m
879; Joachim;m
880; Max;m
881; Josef;m
882; Carl;m
883; Waldemar;m
884; Julius;m
885; Emil;m
886; Theodor;m
887; Erich;m
888; Erna;w
889; Evemarie;w
890; Arthur;m
891; Walter;m
892; Friedrich;m
893; Susanne;w
894; Lothar;m
895; Josef;m
896; Gustav Wilhelm;m
897; Wilhelm;m
898; Jakob;m
899; Emil;m
900; Georg Willi;m
901; Erich;m
902; Wolfgang;m
903; Paul;m
904; Anita;w
905; Artur;m
906; Christel;w
907; Paul;m
908; Friedrich;m
909; Marie;w
910; Friedrich;m
911; Erich;m
912; Wilhelm;m
913; Ada u. Rudolf;m
914; Rudolf;m
915; Walther;m
916; Anna;w
917; Hans;m
918; Elisabeth;w
919; Dora;w
920; Herbert;m
921; Wulf;m
922; Gustav;m
923; Erich;m
924; Hermann;m
925; Franz Ernst;m
926; Edmund Adolf;m
927; Willi;m
928; Ernst;m
929; Walter;m
930; Eberhard;m
931; Wilfried;m
932; Eduard;m
933; Ingeborg;w
934; Erna;w
935; Wilhelm;m
936; Josef u. Thea;m
937; Frieda;w
938; Gernot;m
939; Charley;m
940; Fritz;m
941; Elfriede;w
942; Hans;m
943; Emilie u. Ernst-Günter;w
944; Marta u. Robert;w
945; Walter;m
946; Walter;m
947; Josef;m
948; Friedrich;m
949; Willi;m
950; Anneliese;w
951; Ewald M.;m
952; Karl;m
953; Hubert;m
954; Gerhard;m
955; Kurt;m
956; Richard;m
957; Rudolf;m
958; Rolf;m
959; Carl;m
960; Georg;m
961; Heinrich u. Hildegard;m
962; Walter;m
963; Annemarie;w
964; Klaus;m
965; Karl Heinrich;m
966; Otto;m
967; Anna u. Johannes;w
968; Johannes;m
969; Paul Friedrich;m
970; Karl;m
971; Otto;m
972; Ernst;m
973; Herbert;m
974; Katharina u. Max;w
975; Johannes;m
976; Josef;m
977; Hans E.;m
978; Bernhard;m
979; Heinrich;m
980; Herbert;m
981; Karl;m
982; Alfred;m
983; Anna-Sofie;w
984; Elke;w
985; Erich;m
986; Klaus;m
987; Waldemar;m
988; Werner;m
989; Ludwig;m
990; Wilhelm;m
991; Willy;m
992; Hans;m
993; Günther;m
994; Wilhelm;m
995; Emmy;w
996; Albin;m
997; Albert;m
998; Hildgund;w
999; Hans;m
1000; Charlotte;w
1001; Eduard;m
1002; Kurt;m
1003; Paul;m
1004; Elli;w
1005; Adolf;m
1006; Liselotte;w
1007; Hans;m
1008; Richard;m
1009; Hermann;m
1010; Eugen;m
1011; Marianne;w
1012; Ernst;m
1013; Paul;m
1014; Emil;m
1015; Emil;m
1016; Johannes;m
1017; Irene;w
1018; Roland;m
1019; Wilhelm;m
1020; Gerda (Keppler);w
1021; Maria;w
1022; Marianne;w
1023; Marie;w
1024; Ilse;w
1025; Kurt;m
1026; Eberhard;m
1027; Carl;m
1028; August u. Gertrud;m
1029; Otto G.;m
1030; Felix;m
1031; Robert;m
1032; Alphons;m
1033; A. Hilmar;m
1034; Emil;m
1035; Lothar;m
1036; Alfred;m
1037; Liselotte;w
1038; Walter;m
1039; Wolfgang;m
1040; Hermann;m
1041; Carl;m
1042; Gustav;m
1043; Eduard;m
1044; Agnes;w
1045; Mathilde Freiin von;w
1046; Anna Maria und Hans;w
1047; Lilli;w
1048; Karl;m
1049; Ernst;m
1050; Heinrich;m
1051; Adolf;m
1052; Fritz;m
1053; Katrin;w
1054; Josephine;w
1055; Hermann;m
1056; Olga Meta;w
1057; Elisabeth;w
1058; Paul;m
1059; Karl;m
1060; Mathilde;w
1061; Hermann;m
1062; Ruth;w
1063; Gustav u. Hedwig;m
1064; Francis Gerling;m
1065; Hans;m
1066; Olaf;m
1067; Fritz;m
1068; Wilhelm;m
1069; Hermann;m
1070; Hermann;m
1071; Elsbeth;w
1072; Erwin;m
1073; Rolf;m
1074; Rudolf;m
1075; Barbara;w
1076; Hellmut;m
1077; Albrecht;m
1078; John;m
1079; Karl;m
1080; Nis;m
1081; Hermann u. Wilhelm;m
1082; Rudolf;m
1083; Elisabeth;w
1084; Robert;m
1085; Andreas;m
1086; Josef H.;m
1087; Ernst;m
1088; Agathe;w
1089; Karl Benno;m
1090; Rudolf;m
1091; Ernst;m
1092; Werner;m
1093; Martha;w
1094; Karl Peter;m
1095; Werner;m
1096; Hugo;m
1097; Carl Ernst;m
1098; Werner;m
1099; Georg u. Rudolf;m
1100; Johannes;m
1101; Ursula;w
1102; Herbert;m
1103; Fritz;m
1104; Gustav;m
1105; Milli;w
1106; Dietrich;m
1107; Eberhard;m
1108; Hermann;m
1109; Ludwig;m
1110; Walter;m
1111; Karl;m
1112; Fritz;m
1113; Willy;m
1114; Horst;m
1115; Rolf;m
1116; Willi;m
1117; Karl;m
1118; Karlheinz;m
1119; Robert;m
1120; Heide;w
1121; Heinrich;m
1122; Franz;m
1123; Walter;m
1124; Günther;m
1125; Johann;m
1126; Karl;m
1127; Maria;w
1128; Martha;w
1129; Jean;m
1130; Erich Albert;m
1131; Wolf;m
1132; Erich;m
1133; Hans;m
1134; Karl;m
1135; Karl;m
1136; Helene;w
1137; Werner;m
1138; Margarethe;w
1139; Maximilian;m
1140; Walter;m
1141; Andreas;m
1142; Georg;m
1143; Heinrich;m
1144; Erich;m
1145; Walter;m
1146; Kurt W.;m
1147; Johannes;m
1148; Franz;m
1149; Hans;m
1150; Erna;w
1151; Alfred F.;m
1152; Margarita;w
1153; Hanni;w
1154; Hans;m
1155; Walter;m
1156; Emma;w
1157; Walter;m
1158; Lisbeth;w
1159; Irmengard;w
1160; Hans-Jochen;m
1161; Arthur-Ernst;m
1162; Manfred;m
1163; Eugen;m
1164; Carl;m
1165; Georg u. Luise;m
1166; Gottfried;m
1167; Karl;m
1168; Leo;m
1169; Friedrich;m
1170; Rolf;m
1171; Ernst;m
1172; Waldtraut;w
1173; Paul;m
1174; Heinrich;m
1175; Hans;m
1176; Friedrich;m
1177; Heinrich;m
1178; Paul;m
1179; Sofie;w
1180; Bernhard;m
1181; Herbert;m
1182; Richard;m
1183; Paula;w
1184; Johannes;m
1185; Friedrich;m
1186; Helmuth;m
1187; Irmgard;w
1188; Robert;m
1189; Wilhelm;m
1190; Gerhard;m
1191; Hans-Joachim von;m
1192; Gustav;m
1193; Karl;m
1194; Burkhard;m
1195; Friedrich;m
1196; Karl;m
1197; Walter;m
1198; Wilhelm;m
1199; Charlotte;w
1200; Waldemar;m
1201; Karl Martin;m
1202; August W.;m
1203; Friedrich;m
1204; August;m
1205; Elisabeth;w
1206; Emilie;w
1207; Fritz;m
1208; Siegfried;m
1209; Carl Hugo;m
1210; Erhard C. J.;m
1211; Ingeborg;w
1212; Woldemar;m
1213; R. Arno;m
1214; Erich;m
1215; Nikolaus-Peter;m
1216; Helga;w
1217; Dorothee von;w
1218; Hermann;m
1219; Clara;w
1220; Hildegard;w
1221; Maria;w
1222; Irmgard u. Ludwig u. Rudolf;w
1223; Horst;m
1224; Ottilie;w
1225; Ernst;m
1226; Margarete;w
1227; Herbert;m
1228; Walther;m
1229; Hildegard (Wihan);w
1230; Werner;m
1231; Hans;m
1232; Heinz;m
1233; Albert;m
1234; Otto;m
1235; Friedrich;m
1236; Fritz;m
1237; Wilhelm Hans;m
1238; Josef;m
1239; Curt;m
1240; Kurt u. Kurt H.;m
1241; Luise;w
1242; Eduard;m
1243; Karl;m
1244; Aribert von;m
1245; Hermann;m
1246; Anton;m
1247; Carl;m
1248; Carola;w
1249; Max;m
1250; Carl;m
1251; Ernst;m
1252; Georg;m
1253; Martin;m
1254; Emmy;w
1255; Elisabeth;w
1256; Jenny;w
1257; Oskar;m
1258; Robert;m
1259; Annemarie;w
1260; Karl;m
1261; Martha;w
1262; Max;m
1263; Paul;m
1264; Konrad;m
1265; Heinzwolf;m
1266; Hugo;m
1267; Ilse;w
1268; Johannes;m
1269; Leo;m
1270; Eberhard;m
1271; Heinrich;m
1272; Harald;m
1273; Rudolf;m
1274; Robert;m
1275; Hellmut;m
1276; Walter;m
1277; Luise;w
1278; Michael;m
1279; Paul;m
1280; Wilhelm;m
1281; Richard;m
1282; Theoheinz;m
1283; Anna;w
1284; Johanna;w
1285; Marie;w
1286; Oskar;m
1287; Karl;m
1288; Leonie;w
1289; Hans-Karl;m
1290; Anton;m
1291; Hedwig;w
1292; Wilhelm;m
1293; Friedrich;m
1294; Adolf;m
1295; Alfred;m
1296; Gesine;w
1297; Heinz;m
1298; Luise;w
1299; Waltraut;w
1300; Helmut;m
1301; Hanns;m
1302; August;m
1303; Clara;w
1304; Heinrich;m
1305; Heinrich;m
1306; Peter;m
1307; Julius W.;m
1308; Meta;w
1309; Josef;m
1310; Walter;m
1311; Walter;m
1312; Lieselotte;w
1313; Werner;m
1314; Alfons;m
1315; Josef;m
1316; Kurt;m
1317; Hans;m
1318; Werner;m
1319; Walter;m
1320; Ulrich C. A.;m
1321; Erich A.;m
1322; Wilhelm;m
1323; Wilhelm;m
1324; Günter;m
1325; Hans;m
1326; Anna;w
1327; Fritz;m
1328; Karl;m
1329; Regina;w
1330; Friedrich;m
1331; Paul;m
1332; Hildegard;w
1333; Hermann;m
1334; Rolf;m
1335; Helmut;m
1336; Bernhard;m
1337; Willy;m
1338; Alfred D.;m
1339; Helmut;m
1340; Hermann;m
1341; Hubert;m
1342; Otto;m
1343; Rudolf;m
1344; Hans;m
1345; Richard;m
1346; Anni;w
1347; Elfriede;w
1348; Viktor;m
1349; Käte;w
1350; Erne u. Willi;m
1351; Emma u. Konrad;w
1352; Friedrich;m
1353; Ernst;m
1354; Charles;m
1355; Paula;w
1356; Arthur;m
1357; Carl;m
1358; Josef;m
1359; Sibille;w
1360; Helmut;m
1361; Kurt;m
1362; Fritz;m
1363; Hans Georg;m
1364; Maria;w
1365; Käthe;w
1366; Ernst;m
1367; Adolf;m
1368; Wilhelm;m
1369; Martin;m
1370; Therese;w
1371; Hedwig;w
1372; Hugo;m
1373; Detlev;m
1374; Heinrich;m
1375; Josef;m
1376; Julius;m
1377; Friedrich;m
1378; Otto;m
1379; Horst-Georg;m
1380; August;m
1381; Karl;m
1382; Günther;m
1383; Matthias;m
1384; Lina u. Ludwig;w
1385; J. Willibald;m
1386; Friedrich;m
1387; Franz;m
1388; Hans;m
1389; Gerhard;m
1390; Joseph;m
1391; Rudolf A.;m
1392; Alfred;m
1393; Margarete;w
1394; Tönjes;m
1395; Hedwig;w
1396; Stefanie;w
1397; Adelheid;w
1398; Else;w
1399; Gertrud;w
1400; Georg;m
1401; Rosa;w
1402; Albert;m
1403; Adalbert;m
1404; Alfons;m
1405; Loni;w
1406; Walter;m
1407; Martin G.;m
1408; Alfred;m
1409; Arthur Heinz;m
1410; Hans;m
1411; Leo;m
1412; Paul;m
1413; Walter;m
1414; Otto;m
1415; Gotthelf;m
1416; Gustav;m
1417; Barbara;w
1418; Reiner;m
1419; Otto;m
1420; Karl Heinz;m
1421; Ernst;m
1422; Georg;m
1423; Harry;m
1424; Georg;m
1425; Otto;m
1426; August;m
1427; Hellmuth;m
1428; Karl-Heinz;m
1429; Walter;m
1430; Ernst;m
1431; Benno Franz;m
1432; Heinz;m
1433; Otto Erich u. Rudolf;m
1434; Shlomo;m
1435; Rudolf;m
1436; Heinz;m
1437; Elisabeth;w
1438; Friedrich;m
1439; Konrad;m
1440; Friedrich;m
1441; Rudolf;m
1442; Hans;m
1443; Franz;m
1444; Grete u. Rolf;w
1445; Kurt;m
1446; Bernhard von;m
1447; Wilhelm;m
1448; Hermann;m
1449; Alfred H.;m
1450; Fritz;m
1451; Hanni;w
1452; Georg u. Fanny;m
1453; Annie;w
