Id;Vorname;Geschlecht
2807; Charlotte;w
2808; Friedrich;m
2809; Käthe;w
2810; Karl;m
2811; Max;m
2812; Wilhelm;m
2813; Karl;m
2814; Bruno;m
2815; Fritz;m
2816; Anton;m
2817; August-Julius;m
2818; Hermann;m
2819; Maria;w
2820; Otto;m
2821; Andreas;m
2822; Fred;m
2823; Martin;m
2824; Caspar;m
2825; Helmut;m
2826; Heinz;m
2827; Armin;m
2828; Mia;w
2829; Helmut;m
2830; Maria u. Gertrud;w
2831; Christian;m
2832; Hein;m
2833; Richard;m
2834; Gertrud;w
2835; Michael;m
2836; Adelheid;w
2837; Minna;w
2838; Hans;m
2839; Frieda;w
2840; Ludwig;m
2841; Oskar;m
2842; Gottlob;m
2843; Karlheinz;m
2844; Eberhard;m
2845; Hulda;w
2846; Rudolf;m
2847; Alfons;m
2848; Egmont;m
2849; Else;w
2850; Karl Willy;m
2851; Carl Albert;m
2852; Erna;w
2853; Toni;
2854; Irmtraut;w
2855; Wilhelm;m
2856; Josef;m
2857; Magnus;m
2858; Eugen;m
2859; Hildegard;w
2860; Lothar;m
2861; Siegfried;m
2862; Egon Maria;m
2863; Johann Josef;m
2864; Johannes;m
2865; Josef;m
2866; Alfred;m
2867; Bernhard;m
2868; Bodo;m
2869; Eugen;m
2870; Franz;m
2871; Inge;w
2872; Herta;w
2873; Karl u. Maria;m
2874; Kurt;m
2875; Paul;m
2876; Rudolf;m
2877; Erich;m
2878; Oskar;m
2879; Paul von;m
2880; Gerda;w
2881; Hugo;m
2882; Anton;m
2883; Walter;m
2884; Friedrich;m
